rank,team,rating,average_rank,average_rating,one_year_change_rank,one_year_change_rating,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against,source_name,source_date
222,Vatican,692,218,697,-1,0,5,0,0,5,0,3,2,1,6,World Football Elo Ratings PDF,2026-06-21
223,Saba,691,223,675,-1,0,8,5,3,0,2,4,2,25,26,World Football Elo Ratings PDF,2026-06-21
224,Bahamas,685,190,872,-14,-97,90,30,32,28,17,62,11,90,291,World Football Elo Ratings PDF,2026-06-21
225,Saint Pierre and Miquelon,677,223,678,-1,0,7,0,0,7,0,7,0,2,78,World Football Elo Ratings PDF,2026-06-21
226,Turks and Caicos Islands,657,211,765,0,9,56,16,22,18,13,37,6,54,197,World Football Elo Ratings PDF,2026-06-21
227,Anguilla,646,224,557,4,30,117,31,50,36,16,87,14,74,413,World Football Elo Ratings PDF,2026-06-21
228,Tibet,629,208,665,-1,0,10,0,3,7,0,9,1,8,38,World Football Elo Ratings PDF,2026-06-21
229,US Virgin Islands,628,219,685,4,41,81,27,35,19,10,58,13,55,300,World Football Elo Ratings PDF,2026-06-21
230,Bhutan,623,219,600,-1,1,117,20,40,57,12,97,8,68,423,World Football Elo Ratings PDF,2026-06-21
231,Cook Islands,622,206,681,-2,0,56,4,14,38,13,39,4,50,276,World Football Elo Ratings PDF,2026-06-21
232,Macao,589,175,945,0,-7,161,51,50,60,24,120,17,141,490,World Football Elo Ratings PDF,2026-06-21
233,Christmas Island,578,228,577,1,0,10,6,4,0,7,2,1,29,8,World Football Elo Ratings PDF,2026-06-21
234,Brunei,572,201,778,-9,-98,153,30,42,81,27,113,13,120,491,World Football Elo Ratings PDF,2026-06-21
235,Falkland Islands,571,229,585,0,0,4,0,1,3,0,4,0,0,25,World Football Elo Ratings PDF,2026-06-21
236,FS Micronesia,564,231,572,0,0,8,1,3,4,1,7,0,8,64,World Football Elo Ratings PDF,2026-06-21
237,Marshall Islands,559,237,559,0,0,2,0,0,2,0,2,0,2,7,World Football Elo Ratings PDF,2026-06-21
238,Kiribati,544,219,578,-1,0,11,0,2,9,0,10,1,7,126,World Football Elo Ratings PDF,2026-06-21
239,Tonga,520,213,651,-1,0,70,10,15,45,16,48,6,82,265,World Football Elo Ratings PDF,2026-06-21
240,Niue,496,225,496,-1,0,2,0,0,2,0,2,0,0,33,World Football Elo Ratings PDF,2026-06-21
241,Northern Mariana Islands,432,233,512,-1,0,36,7,11,18,5,28,3,43,153,World Football Elo Ratings PDF,2026-06-21
242,Cocos Islands,422,235,423,-1,0,10,4,6,0,2,7,1,8,29,World Football Elo Ratings PDF,2026-06-21
243,Palau,402,237,402,-1,0,2,2,0,0,0,2,0,3,27,World Football Elo Ratings PDF,2026-06-21
244,Eastern Samoa,369,226,467,-1,-19,59,0,15,44,5,52,2,36,385,World Football Elo Ratings PDF,2026-06-21
